savi_code,procedure_name,paid_value,updated_at
10101012,CONSULTA EM CONSULTORIO,72.00,2021-07-01 00:00:00
00010014,CONSULTA EM CONSULTORIO,72.00,2021-07-01 00:00:00
30101077,BIOPSIA DE PELE TUMORES SUPERFICIAIS TECIDO CELULAR SUBCUTANEO LINFONODO SUPERFICIAL ETC,30.00,2021-07-01 00:00:00
30101204,CRIOCIRURGIA (NITROGENIO LIQUIDO) DE NEOPLASIAS CUTANEAS,36.00,2021-07-01 00:00:00
30101298,ELETROCOAGULACAO DE LESOES DE PELE E MUCOSAS - COM OU SEM CURETAGEM (POR GRUPO DE ATE 5 LESOES),36.00,2021-07-01 00:00:00
30101506,EXERESE TANGENCIAL (SHAVING) - (POR GRUPO DE ATE 5 LESOES),21.00,2021-07-01 00:00:00
30101646,INFILTRACAO INTRALESIONAL CICATRICIAL E HEMANGIOMAS - POR SESSAO,15.00,2021-07-01 00:00:00
31602312,ANESTESIA PARA PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARS,0.00,2021-07-01 00:00:00
41301137,DERMATOSCOPIA (POR LESAO),10.30,2021-07-01 00:00:00
80020470,TAXA DE SALA,50.00,2021-07-01 00:00:00
30202051,EXÉRESE DE TUMOR E ENXERTO CUTÂNEO OU MUCOSO,528.00,2021-07-01 00:00:00
30101565,EXTENSOS FERIMENTOS CICATRIZES OU TUMORES - EXÉRESE E ROTAÇÃ,456.00,2021-07-01 00:00:00
30101913,TU PARTES MOLES - EXÉRESE,360.00,2021-07-01 00:00:00
30101468,EXÉRESE DE LESÃO / TUMOR DE PELE E MUCOSAS,120.00,2021-07-01 00:00:00
